1,"Hoa Hồng","#FF0000"
2,"Hoa Ly","#FFA500"
3,"Hoa Lan","#FF69B4"
4,"Hoa Cúc","#FFD700"
5,"Hoa Tulip","#FF6347"
6,"Hoa Cẩm Chướng","#D3D3D3"
7,"Hoa Baby","#FFFFFF"
8,"Hoa Mẫu Đơn","#FFC0CB"
9,"Hoa Cẩm Tú Cầu","#6495ED"
10,"Hoa Lavender","#E6E6FA"
11,"Bó Hoa Đẹp","#8A2BE2"
12,"Hoa Sinh Nhật","#32CD32"
13,"Hoa Khai Trương","#00BFFF"
14,"Hoa Chia Buồn","#8B4513"
15,"Hoa Tình Yêu","#DC143C"
16,"Hoa Lãng Mạn","#FF1493"
17,"Hoa Cưới","#FFFACD"
18,"Hoa Nhập Khẩu","#90EE90"
19,"Hoa Sự Kiện","#FF4500"
20,"Cây Mini","#228B22"
21,"Sen Đá","#C71585"
22,"Cây Xương Rồng","#A52A2A"
23,"Quà Tặng Ý Nghĩa","#FF8C00"
24,"Trang Trí Nhà Cửa","#20B2AA"
25,"Hoa Tươi Mỗi Ngày","#7FFF00"
